age,gender,hometown,study_time,attendance,sleep,outings,screen_time,stress,study_group,study_place,notes,food,physical_activity,previous_grade
30,Male,Urban (Cities etc.),2,>=80,6-8 hours,Once a week,1,1,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Healthy,Daily,3.33 - 3.66
23,Male,Rural (villages),3,<80,4-6 hours,Once a week,2,2,I study in group as well as alone.,Home/Hostel Room,"Yes, I mostly take notes in classes",Mixed,Daily,3.0 - 3.32
33,Female,Urban (Cities etc.),2,>=90,4-6 hours,Once a week,1,3,"No, i study alone.",Home/Hostel Room,"Yes, I mostly take notes in classes",Mixed,1-2 times,3.33 - 3.66
45,Male,Rural (villages),2,>=90,4-6 hours,No outings,2,4,I study in group as well as alone.,Home/Hostel Room,"Yes, I mostly take notes in classes",Healthy,Daily,2.67 - 2.99
23,Female,Urban (Cities etc.),3,>=80,6-8 hours,Once a week,1,1,I study in group as well as alone.,Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Healthy,Daily,3.67 - 3.99
19,Male,Urban (Cities etc.),1,>=90,More than 8 hours,Once a week,3,2,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,Never,3.33 - 3.66
21,Male,Urban (Cities etc.),1,>=80,4-6 hours,Everyday,2,5,Yes,Home/Hostel Room,"Yes, I mostly take notes in classes",Healthy,3-5 times,4
21,Male,Urban (Cities etc.),2,>=80,6-8 hours,Everyday,2,5,"No, i study alone.",Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Mixed,Daily,3.0 - 3.32
20,Male,Urban (Cities etc.),2,>=80,6-8 hours,3-5 times,5,4,"No, i study alone.",Library/ Computer Centre,"I sometimes take notes, like once or twice a week.",Mixed,3-5 times,2.67 - 2.99
19,Male,Urban (Cities etc.),3,>=80,6-8 hours,Once a week,2,3,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,Never,3.33 - 3.66
20,Male,Rural (villages),3,>=80,6-8 hours,Twice a week,3,4,I study in group as well as alone.,Home/Hostel Room,"I sometimes take notes, like once or twice a week.",Mixed,1-2 times,3.0 - 3.32
18,Male,Rural (villages),3,>=80,6-8 hours,Twice a week,3,1,I study in group as well as alone.,Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,1-2 times,3.33 - 3.66
22,Male,Urban (Cities etc.),2,>=80,6-8 hours,3-5 times,2,1,I study in group as well as alone.,Home/Hostel Room,"Yes, I mostly take notes in classes",Healthy,1-2 times,3.0 - 3.32
21,Male,Urban (Cities etc.),1,<80,More than 8 hours,Everyday,0,5,Yes,Home/Hostel Room,"No, I usually dont take notes in classes",Junk,Never,<2.67
20,Male,Urban (Cities etc.),2,>=80,6-8 hours,Twice a week,4,5,"No, i study alone.",Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,Never,3.0 - 3.32
21,Male,Urban (Cities etc.),2,>=80,4-6 hours,Once a week,3,4,"No, i study alone.",Home/Hostel Room,"Yes, I mostly take notes in classes",Mixed,3-5 times,3.0 - 3.32
21,Male,Urban (Cities etc.),4,>=80,2-4 hours,No outings,3,4,Yes,Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,Never,3.67 - 3.99
20,Female,Rural (villages),1,<80,4-6 hours,3-5 times,5,1,Yes,Home/Hostel Room,"No, I usually dont take notes in classes",Mixed,Never,3.33 - 3.66
21,Female,Urban (Cities etc.),5,<80,4-6 hours,Twice a week,2,1,"No, i study alone.",Library/ Computer Centre,"No, I usually dont take notes in classes",Junk,3-5 times,3.67 - 3.99
19,Male,Rural (villages),3,>=90,6-8 hours,3-5 times,2,2,I study in group as well as alone.,Home/Hostel Room,"Yes, I mostly take notes in classes",Healthy,Never,3.0 - 3.32
